"DateTime","DHI","DNI","Temperature","Pressure","Relative.Humidity","Wind.Speed","GHI"
"23-05-2011 11:00",254,679,34,1000,54.41,0.3,921
"09-05-2014 16:00",152,427,30,1000,76.48,3.4,341
"05-04-2014 19:00",0,0,29,1010,65.33,2.9,0
"05-02-2013 16:00",166,254,27,1010,58.38,3.4,264
"27-08-2011 19:00",0,0,28,1000,82.26,3.9,0
"26-09-2013 02:00",0,0,27,1000,90.46,2.4,0
"01-06-2012 14:00",367,179,37,990,33.63,1.2,514
"12-04-2014 14:00",231,657,33,1000,54.2,2.7,773
"25-05-2011 04:00",0,0,28,1000,95.75,2.6,0
"23-11-2013 14:00",181,630,28,1000,75.85,2.8,580
"12-07-2013 04:00",0,0,26,1000,74.86,3.3,0
"10-08-2013 01:00",0,0,27,1000,80.48,1.9,0
"30-05-2013 07:00",132,1,31,1000,67.89,2.1,133
"23-02-2011 16:00",175,51,27,1010,69.23,2.7,197
"17-01-2011 12:00",211,770,29,1000,60.32,0.5,850
"10-07-2014 05:00",0,0,26,1000,76.92,4.3,0
"07-04-2013 11:00",247,727,36,1000,42.39,2.7,959
"16-10-2014 06:00",42,16,27,1010,92.2,1.3,44
"17-08-2011 20:00",0,0,28,1000,83.71,1.9,0
"12-07-2012 18:00",1,0,31,1000,65.17,1.1,1
"20-09-2013 23:00",0,0,27,1000,85.02,4.1,0
"27-12-2011 18:00",0,0,24,1010,67.32,2.9,0
"04-04-2014 06:00",33,5,28,1010,78.75,1.6,34
"10-08-2011 13:00",199,735,34,1000,55.39,1.6,897
"08-06-2011 18:00",0,0,31,1000,69.28,2.7,0
"13-11-2013 15:00",153,535,28,1000,69.15,3.2,406
"12-03-2013 13:00",217,776,36,1000,24.17,2.7,927
"28-10-2013 03:00",0,0,27,1000,92.93,1.3,0
"31-03-2013 00:00",0,0,27,1000,79.77,3.1,0
"27-12-2012 22:00",0,0,24,1010,83.28,3.8,0
"26-04-2014 08:00",231,431,32,1000,64.24,2.6,493
"13-09-2011 00:00",0,0,26,1000,90.22,3,0
"30-03-2011 03:00",0,0,25,1000,94.53,2.6,0
"28-01-2012 01:00",0,0,24,1010,85.6,1.9,0
"30-04-2011 06:00",57,29,28,1000,92.73,0.8,62
"15-05-2013 20:00",0,0,30,1000,67.39,3,0
"11-11-2014 02:00",0,0,25,1010,89.14,1.8,0
"13-01-2013 17:00",29,0,25,1010,62.19,2.4,29
"17-04-2011 10:00",299,619,34,1010,48.95,1.8,864
"22-03-2013 05:00",0,0,25,1000,88.6,2.1,0
"20-10-2012 12:00",242,14,28,1000,81.16,3.3,255
"16-03-2014 17:00",84,106,30,1010,39.82,3.8,105
"15-04-2014 08:00",252,344,31,1010,65.42,1.5,456
"11-02-2013 23:00",0,0,24,1010,80.44,2.6,0
